Country Name,Indicator Name,average_value,min_value,max_value,std_deviation
Afghanistan,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),60.50940668794117,-69.44425433,290.414756,119.00891326179809
Afghanistan,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),0.06931869964,0.021327897,0.140999288,0.03310813458146467
Afghanistan,Current health expenditure per capita (current US$),53.47409613347826,16.70697403,81.52112579,21.970432260828236
Afghanistan,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",41.49767647058824,32.333,43.389,3.3625343230924867
Afghanistan,Forest area (% of land area),1.852781994,1.852781994,1.852781994,0.0
Afghanistan,"Literacy rate, youth total (% of people ages 15-24)",46.20750236642857,35.82083893,62.65999985,10.946569200126277
Afghanistan,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",61.49267955558824,46.08709367,77.14372755,8.57728177946083
Afghanistan,Political Stability and Absence of Violence/Terrorism: Estimate,-2.475503354275862,-2.794975519,-2.035033703,0.18782936871298223
Afghanistan,Renewable energy consumption (% of total final energy consumption),26.670588235294115,12.6,45.6,9.866949097465673
Afghanistan,wgi_pivoted_cleaned,-1.6628870149133332,-2.794975519,-0.945146263,0.45898001880850675
Africa Eastern and Southern,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),37.65004565588236,-3.735200965,72.92800295,25.391301204779946
Africa Eastern and Southern,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),0.2968714070294118,0.198431354,0.365989674,0.054524228915404975
Africa Eastern and Southern,Current health expenditure per capita (current US$),82.25381761320001,34.96710841,112.2783817,21.47832047534838
Africa Eastern and Southern,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",65.37494433617647,60.86077151,66.93894336,1.8000381760102189
Africa Eastern and Southern,Forest area (% of land area),35.72544360352941,29.7372051,42.79917984,4.299885778585488
Africa Eastern and Southern,"Literacy rate, youth total (% of people ages 15-24)",75.74612336941176,70.27037048,83.22039032,5.00015038429877
Africa Eastern and Southern,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",26.673623246764706,23.72156931,29.9084408,1.6553753188515623
Africa Eastern and Southern,Renewable energy consumption (% of total final energy consumption),63.505410667647055,60.80179905,65.81736278,1.6856749102510404
Africa Western and Central,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),69.61199950482353,5.073381096,144.6299906,44.24957100176277
Africa Western and Central,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),0.12958725855882353,0.098943598,0.185069333,0.02891320167363412
Africa Western and Central,Current health expenditure per capita (current US$),55.798926506,18.19985058,78.72483058,18.467382968531073
Africa Western and Central,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",71.04625239852942,67.36737982,73.42972491,1.9326196832862674
Africa Western and Central,Forest area (% of land area),20.964977990294116,19.64748777,22.65874567,0.9328825621543164
Africa Western and Central,"Literacy rate, youth total (% of people ages 15-24)",64.62359966970588,58.55585098,71.84809113,4.150101128048987
Africa Western and Central,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",56.161990305882355,46.95926935,71.29505109,4.8504175454895
Africa Western and Central,Renewable energy consumption (% of total final energy consumption),80.30408800970588,75.07878817,86.55768527,3.7746108106693126
Albania,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),-40.40348780647059,-76.2151994,-19.61625282,16.530550457134673
Albania,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),0.14087999773529414,0.092946099,0.332850293,0.04224372264587782
Albania,Current health expenditure per capita (current US$),258.419819642,65.47674561,465.5704346,116.18327881132511
