Country Name,Indicator Name,Trend Slope
Afghanistan,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),9.865322750507257
Afghanistan,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),0.003172565150769231
Afghanistan,Current health expenditure per capita (current US$),3.203844860098814
Afghanistan,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.2346253628724217
Afghanistan,Forest area (% of land area),0.0
Afghanistan,"Literacy rate, youth total (% of people ages 15-24)",1.2742417473626375
Afghanistan,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",-0.34121531158594337
Afghanistan,Political Stability and Absence of Violence/Terrorism: Estimate,-0.011678243855665021
Afghanistan,Renewable energy consumption (% of total final energy consumption),-0.6456531703590528
Afghanistan,wgi_pivoted_cleaned,0.00658817832296902
Africa Eastern and Southern,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),2.3418369805570665
Africa Eastern and Southern,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),-0.0053548751582887695
Africa Eastern and Southern,Current health expenditure per capita (current US$),1.958981501453846
Africa Eastern and Southern,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.14538758623529408
Africa Eastern and Southern,Forest area (% of land area),-0.41714039919327733
Africa Eastern and Southern,"Literacy rate, youth total (% of people ages 15-24)",0.4729182722750191
Africa Eastern and Southern,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0.10914070079297171
Africa Eastern and Southern,Renewable energy consumption (% of total final energy consumption),-0.017563058429335362
Africa Western and Central,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),4.282963240906953
Africa Western and Central,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),-0.0025526823723453014
Africa Western and Central,Current health expenditure per capita (current US$),2.095812024246154
Africa Western and Central,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.18601990328647827
Africa Western and Central,Forest area (% of land area),-0.09337494111382734
Africa Western and Central,"Literacy rate, youth total (% of people ages 15-24)",0.38670389281741785
Africa Western and Central,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",-0.10084094119174948
Africa Western and Central,Renewable energy consumption (% of total final energy consumption),-0.35963811925592076
Albania,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),1.330389771431627
Albania,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),-0.002561583686019863
Albania,Current health expenditure per capita (current US$),15.343376305461536
Albania,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.03880397249809016
Albania,Forest area (% of land area),0.01607356135370514
Albania,"Literacy rate, youth total (% of people ages 15-24)",0.03169743410000002
Albania,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",-0.22324705773567607
Albania,Political Stability and Absence of Violence/Terrorism: Estimate,0.03223980756009852
Albania,Renewable energy consumption (% of total final energy consumption),-0.2132620320855615
Albania,wgi_pivoted_cleaned,0.027363719198196027
Algeria,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),5.272155807828265
Algeria,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),0.00021344677830404863
Algeria,Current health expenditure per capita (current US$),7.135174539053846
Algeria,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.14175874713521772
Algeria,Forest area (% of land area),0.005894454457906798
Algeria,"Literacy rate, youth total (% of people ages 15-24)",-0.8135745609881424
Algeria,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",-0.01200618814209322
Algeria,Political Stability and Absence of Violence/Terrorism: Estimate,0.038470407669458126
Algeria,Renewable energy consumption (% of total final energy consumption),-0.01284950343773873
Algeria,wgi_pivoted_cleaned,0.005916729115494008
American Samoa,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),0.0
American Samoa,Forest area (% of land area),-0.15158135981665405
American Samoa,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0.006193886289839573
American Samoa,Political Stability and Absence of Violence/Terrorism: Estimate,0.019654786425974017
American Samoa,Renewable energy consumption (% of total final energy consumption),0.013949579831932775
American Samoa,wgi_pivoted_cleaned,0.0221566874980062
Andorra,Current health expenditure per capita (current US$),81.96484196846154
Andorra,Forest area (% of land area),0.0
Andorra,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",-0.26647397299449965
Andorra,Political Stability and Absence of Violence/Terrorism: Estimate,0.01376373757093596
Andorra,Renewable energy consumption (% of total final energy consumption),0.18551566080977844
Andorra,wgi_pivoted_cleaned,0.0034996776425913114
Angola,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),5.035020542053781
Angola,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),-0.0028760338409472876
Angola,Current health expenditure per capita (current US$),2.3295850221692307
Angola,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.02623880825057303
Angola,Forest area (% of land area),-0.37764842897173406
Angola,"Literacy rate, youth total (% of people ages 15-24)",0.4386011936565216
Angola,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0.07141713991138278
Angola,Political Stability and Absence of Violence/Terrorism: Estimate,0.06694145816206896
Angola,Renewable energy consumption (% of total final energy consumption),-0.8835599694423223
Angola,wgi_pivoted_cleaned,0.025903807437229615
Anguilla,wgi_pivoted_cleaned,-0.022708555713517205
Antigua and Barbuda,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),3.4026263363381206
Antigua and Barbuda,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),0.0005560007634835753
Antigua and Barbuda,Current health expenditure per capita (current US$),19.992703439307693
Antigua and Barbuda,Forest area (% of land area),-0.14870949383346063
Antigua and Barbuda,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0.024614879320091668
Antigua and Barbuda,Political Stability and Absence of Violence/Terrorism: Estimate,0.007494641644334977
Antigua and Barbuda,Renewable energy consumption (% of total final energy consumption),0.028372803666921312
Antigua and Barbuda,wgi_pivoted_cleaned,-0.014777371740939686
Arab World,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),7.074317022661115
Arab World,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),-0.000479617337051184
Arab World,Current health expenditure per capita (current US$),11.263057995769232
Arab World,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.0339034487715813
Arab World,Forest area (% of land area),0.0449016551367456
Arab World,"Literacy rate, youth total (% of people ages 15-24)",0.33063956801069516
Arab World,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0.031140877775401057
Arab World,Renewable energy consumption (% of total final energy consumption),-0.09270732207394958
Argentina,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),2.8183913074907556
Argentina,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),-0.00041305807196333064
Argentina,Current health expenditure per capita (current US$),44.505968945846156
Argentina,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.06464186401833459
Argentina,Forest area (% of land area),-0.08424296528800614
Argentina,"Literacy rate, youth total (% of people ages 15-24)",0.03666921313980138
Argentina,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",-0.16421904605194806
Argentina,Political Stability and Absence of Violence/Terrorism: Estimate,0.003806496293103448
Argentina,Renewable energy consumption (% of total final energy consumption),-0.0015126050420168104
Argentina,wgi_pivoted_cleaned,-0.0032861782153147698
Armenia,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),0.03796170257494259
Armenia,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),-0.013337135809472878
Armenia,Current health expenditure per capita (current US$),28.165387510746154
Armenia,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.2955567608861727
Armenia,Forest area (% of land area),-0.007209930137032075
Armenia,"Literacy rate, youth total (% of people ages 15-24)",0.0
Armenia,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0.24467665094728794
Armenia,Political Stability and Absence of Violence/Terrorism: Estimate,-0.012634531850246305
Armenia,Renewable energy consumption (% of total final energy consumption),0.011611917494270431
Armenia,wgi_pivoted_cleaned,0.01004809144952465
Aruba,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),4.354324561261727
Aruba,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),0.0011668927346065701
Aruba,Forest area (% of land area),0.0
Aruba,"Literacy rate, youth total (% of people ages 15-24)",0.019999870769230856
Aruba,Political Stability and Absence of Violence/Terrorism: Estimate,0.012566597896103893
Aruba,Renewable energy consumption (% of total final energy consumption),0.34256684491978606
Aruba,wgi_pivoted_cleaned,0.00012334434190775537
Australia,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),1.2076755603370513
Australia,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),-0.006985688839724983
Australia,Current health expenditure per capita (current US$),224.7053024469231
Australia,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.20500015278838807
Australia,Forest area (% of land area),0.004319740113063366
Australia,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0.02340438022719633
Australia,Political Stability and Absence of Violence/Terrorism: Estimate,-0.012480719154187195
Australia,Renewable energy consumption (% of total final energy consumption),0.11095492742551569
Australia,wgi_pivoted_cleaned,-0.0033255050220121576
Austria,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),-0.0945528884644767
Austria,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),-0.002439313263407181
Austria,Current health expenditure per capita (current US$),147.05159479769227
Austria,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.08846615737203979
Austria,Forest area (% of land area),0.04032407189915967
Austria,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",-0.41252935468601987
Austria,Political Stability and Absence of Violence/Terrorism: Estimate,-0.013966700949261085
Austria,Renewable energy consumption (% of total final energy consumption),0.42967150496562256
Austria,wgi_pivoted_cleaned,-0.011529833582992003
Azerbaijan,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),0.1322276739384263
Azerbaijan,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),-0.02519534789854851
Azerbaijan,Current health expenditure per capita (current US$),12.647577403984615
Azerbaijan,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.44721405653170354
Azerbaijan,Forest area (% of land area),0.08125264848596256
Azerbaijan,"Literacy rate, youth total (% of people ages 15-24)",0.0
Azerbaijan,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0.12748400339190216
Azerbaijan,Political Stability and Absence of Violence/Terrorism: Estimate,0.004870419678817734
Azerbaijan,Renewable energy consumption (% of total final energy consumption),-0.001543162719633308
Azerbaijan,wgi_pivoted_cleaned,0.01564044782018661
"Bahamas, The",Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),1.6731130275767763
"Bahamas, The",Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),0.00017212471688311695
"Bahamas, The",Current health expenditure per capita (current US$),58.06099791969231
"Bahamas, The","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",-0.06171535523300221
"Bahamas, The",Forest area (% of land area),0.0
"Bahamas, The","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",-0.014704639197860938
"Bahamas, The",Political Stability and Absence of Violence/Terrorism: Estimate,-0.006059740864532017
"Bahamas, The",Renewable energy consumption (% of total final energy consumption),0.04498090145148968
"Bahamas, The",wgi_pivoted_cleaned,-0.030910965628103342
Bahrain,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),7.084666466876088
Bahrain,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),-0.0030352341498854087
Bahrain,Current health expenditure per capita (current US$),33.09454325415385
Bahrain,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.18471703590527117
Bahrain,Forest area (% of land area),0.018453402531092435
Bahrain,"Literacy rate, youth total (% of people ages 15-24)",0.11413292589763178
Bahrain,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",-0.22960985955385788
Bahrain,Political Stability and Absence of Violence/Terrorism: Estimate,-0.029687878094581278
Bahrain,Renewable energy consumption (% of total final energy consumption),0.0
Bahrain,wgi_pivoted_cleaned,-0.014873494759729142
Bangladesh,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),24.444195401600304
Bangladesh,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),0.001013388707868602
Bangladesh,Current health expenditure per capita (current US$),2.502192142876923
Bangladesh,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.04243483575248283
Bangladesh,Forest area (% of land area),-0.011825898925897664
Bangladesh,"Literacy rate, youth total (% of people ages 15-24)",1.7798292563605804
Bangladesh,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",-0.10317198824598921
Bangladesh,Political Stability and Absence of Violence/Terrorism: Estimate,-0.011325976278817733
Bangladesh,Renewable energy consumption (% of total final energy consumption),-1.5687853323147443
Bangladesh,wgi_pivoted_cleaned,0.001933385100375545
Barbados,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),1.1402342258601987
Barbados,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),0.0005668416032085561
Barbados,Current health expenditure per capita (current US$),24.95864238423077
Barbados,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.08575202444614212
Barbados,Forest area (% of land area),0.0
Barbados,"Literacy rate, youth total (% of people ages 15-24)",0.0
Barbados,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",0.01783298622154312
Barbados,Political Stability and Absence of Violence/Terrorism: Estimate,0.001902269490147782
Barbados,Renewable energy consumption (% of total final energy consumption),-0.3869671504965622
Barbados,wgi_pivoted_cleaned,-0.022904732096231638
Belarus,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),-0.4685802008632543
Belarus,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),-0.01885519518838808
Belarus,Current health expenditure per capita (current US$),18.11261623126154
Belarus,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.36913200916730327
Belarus,Forest area (% of land area),0.1388038369986632
Belarus,"Literacy rate, youth total (% of people ages 15-24)",0.0
Belarus,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",-0.5868833908143622
Belarus,Political Stability and Absence of Violence/Terrorism: Estimate,-0.02940713760591133
Belarus,Renewable energy consumption (% of total final energy consumption),0.193598166539343
Belarus,wgi_pivoted_cleaned,-0.000750393616864507
Belgium,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),-1.0103000395122994
Belgium,Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),-0.005421352522536287
Belgium,Current health expenditure per capita (current US$),138.86608134230772
Belgium,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.1768059587471352
Belgium,Forest area (% of land area),0.021408088592307688
Belgium,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",-0.3943237973537051
Belgium,Political Stability and Absence of Violence/Terrorism: Estimate,-0.028281219977832513
Belgium,Renewable energy consumption (% of total final energy consumption),0.40488922841864017
